Name,Excavation (tons),Transportation (km),Equipment Usage (kWh),Energy Consumption (kWh),Methane Emission (tons),Carbon Footprint (tons CO2e),Afforestation (hectares),Reclamation (hectares),Carbon Sink Gap (tons CO2e)
Kusmunda Opencast,2000000,80,60000,250000,300,150000,100,50,75000
Gevra Opencast,1500000,60,50000,200000,250,120000,80,40,60000
Korba Coalfield,3000000,100,75000,300000,500,200000,120,60,100000
Singrauli Opencast,800000,50,30000,150000,150,70000,40,20,35000
Jharia Coalfield,2500000,90,65000,270000,400,170000,110,55,85000
Talcher Coalfield,1000000,70,40000,180000,200,90000,60,30,45000
Rajmahal Opencast,2200000,85,55000,230000,320,140000,90,45,70000
Bhubaneswari Opencast,1200000,55,35000,190000,220,100000,70,35,50000
Lakhanpur Opencast,900000,65,38000,170000,180,80000,50,25,40000
Lingaraj Opencast,1800000,75,52000,210000,280,130000,85,42,65000
Ananta Opencast,2100000,90,70000,250000,350,160000,95,48,80000
Hingula Opencast,1400000,70,48000,200000,240,110000,80,40,55000
Bharatpur Opencast,2600000,95,73000,280000,370,180000,100,50,90000
South Eastern Coalfields (SECL),1600000,60,53000,210000,260,120000,75,38,60000
Chandrapur Opencast,700000,45,28000,140000,130,60000,35,18,30000
Dudhichua Opencast,3200000,100,78000,310000,480,220000,130,65,110000
Nigahi Opencast,1300000,65,44000,190000,210,100000,70,35,50000
Amlohri Opencast,2800000,90,68000,270000,390,170000,110,55,85000
Khadia Opencast,1100000,50,37000,180000,190,90000,60,30,45000
Jayant Opencast,900000,55,32000,160000,160,70000,50,25,35000
Sonepur Bazari Opencast,2400000,85,62000,260000,350,160000,100,50,80000
Kulda Opencast,1700000,75,50000,210000,280,130000,85,42,65000
Jhingurda Opencast,800000,40,25000,130000,120,50000,30,15,25000
Kaniha Opencast,1500000,60,45000,200000,250,110000,75,38,55000
Tikak Opencast,2300000,90,67000,240000,330,150000,95,48,75000
Ledo Opencast,1100000,50,35000,180000,190,90000,60,30,45000
Chirimiri Opencast,1900000,80,55000,220000,290,140000,90,45,70000
Lakhanpur Opencast,2700000,100,75000,300000,450,190000,120,60,95000
North Eastern Coalfields,1300000,65,40000,190000,230,100000,70,35,50000
Dipka Opencast,3000000,95,80000,320000,480,220000,140,70,110000
Bijuri Opencast,1400000,70,48000,200000,240,110000,80,40,55000
Kamptee Opencast,1200000,55,36000,180000,200,95000,65,33,47500
Patansaongi Opencast,2100000,85,67000,260000,340,170000,100,50,85000
Tandur Opencast,1300000,60,45000,190000,220,105000,70,35,52500
Sasti Opencast,2900000,90,78000,310000,460,210000,130,65,105000
New Majri Opencast,1500000,75,55000,220000,270,125000,80,40,62500
Koyagudem Opencast,800000,50,32000,160000,150,70000,50,25,35000
Manuguru Opencast,2400000,95,70000,270000,400,180000,110,55,90000
Godavari Valley Coalfields,1800000,80,60000,230000,320,150000,95,48,75000
Ramagundam Opencast,1000000,55,40000,170000,190,85000,60,30,42500
Sathupalli Opencast,2100000,85,68000,260000,350,160000,105,53,80000
Mand Raigarh Coalfield,2500000,100,75000,290000,420,180000,120,60,90000
Hasdeo Arand Opencast,900000,60,38000,170000,200,80000,50,25,40000
Bisrampur Coalfield,1600000,75,54000,210000,270,130000,85,43,65000
Khairaha Coalfield,1400000,65,48000,200000,230,110000,75,38,55000
Pandavpara Opencast,2000000,90,66000,250000,350,150000,95,48,75000
Bina Opencast,1100000,55,37000,180000,210,90000,60,30,45000
Jayant Opencast,900000,55,32000,160000,160,70000,50,25,35000
Amlohri Opencast,2800000,90,68000,270000,390,170000,110,55,85000
Singrauli Opencast,800000,50,30000,150000,150,70000,40,20,35000
Chirimiri Opencast,2500000,95,75000,290000,450,180000,120,60,90000
